attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition
cropClass,Fr_Gr,Fr,Fr_Gr,"Grapes, Wine, Raisins",,,,False,table 9
cropClass,Ro_Po,Ro,Ro_Po,Potatoes,,,,False,table 9
cropClass,Ot_Pa,Ot,Ot_Pa,"Palm (fibres, kernels)",,,,False,table 9
cropClass,Pu_Pe,Pu,Pu_Pe,Peas,,,,False,table 9
cropClass,Fr_Me,Fr,Fr_Me,Melons,,,,False,table 9
cropClass,Oi_Op,Oi,Oi_Op,Oil-palm,,,,False,table 9
cropClass,Oi,,Oi,Oilcrops,,,,False,table 9
cropClass,Fo_Al,Fo,Fo_Al,Alfalfa,,,,False,table 9
cropClass,Ce_Ma,Ce,Ce_Ma,Maiz,,,,False,table 9
cropClass,Fo_Cl,Fo,Fo_Cl,Clover,,,,False,table 9
cropClass,Ce_So,Ce,Ce_So,Sorghum,,,,False,table 9
cropClass,Fi,,Fi,Fibre crops,,,,False,table 9
cropClass,Lu_Te,Lu,Lu_Te,Tea,,,,False,table 9
cropClass,Ce_Ri,Ce,Ce_Ra,"Rice, dry",,,,False,table 9
cropClass,Fo_Ha,Fo,Fo_Ha,Hay,,,,False,table 9
cropClass,Fo_Le,Fo,Fo_Le,Leguminous,,,,False,table 9
cropClass,Oi_Ra,Oi,Oi_Ra,Rap,,,,False,table 9
cropClass,Fo_Pu,Fo,Fo_Pu,Pumpkins,,,,False,table 9
cropClass,Oi_Cc,Oi,Oi_Cc,Coconuts,,,,False,table 9
cropClass,Fr_Ma,Fr,Fr_Ma,Mangoes,,,,False,table 9
cropClass,Ve,,Ve,Vegetables,,,,False,table 9
cropClass,Fo,,Fo,Fodder plants,,,,False,table 9
cropClass,Ot,,Ot,Other crops,,,,False,table 9
cropClass,Oi_Se,Oi,Oi_Se,Sesam,,,,False,table 9
cropClass,Ce_Ba,Ce,Ce_Ba,Barley,,,,False,table 9
cropClass,Ro_Su,Ro,Ro_Su,Sugar beets,,,,False,table 9
cropClass,Ro,,Ro,Roots and tubers,,,,False,table 9
cropClass,Lu_Co,Lu,Lu_Co,Coff,,,,False,table 9
slopeForm,V,,V,convex,,,,False,table 6
slopeForm,S,,S,straight,,,,False,table 6
slopeForm,X,,X,complex (irregular),,,,False,table 6
slopeForm,C,,C,concav,,,,False,table 6
slopeForm,T,,T,terraced,,,,False,table 6
organicMatterClass,,,,,,,,,
sealingConsistence,V,,V,Very hard,,,,False,table 20.2
sealingConsistence,H,,H,Hard,,,,False,table 20.2
sealingConsistence,S,,S,Slightly hard,,,,False,table 20.2
sealingConsistence,E,,E,Extremely hard,,,,False,table 20.2
floodDuration,,,,,,,,,
majorLandForm,T,,T,steep land,,,,False,table 4
majorLandForm,TE,T,TE,high-gradient escarpment zo,,,,False,table 4
majorLandForm,SE,S,SE,medium-gradient escarpment zo,,,,False,table 4
majorLandForm,LL,L,LL,plateau,,,,False,table 4
majorLandForm,LP,L,LP,plai,,,,False,table 4
majorLandForm,SP,S,SP,dissected plai,,,,False,table 4
majorLandForm,SM,S,SM,medium-gradient mountai,,,,False,table 4
majorLandForm,TM,T,TM,high-gradient mountai,,,,False,table 4
majorLandForm,TV,T,TV,high-gradient valley,,,,False,table 4
majorLandForm,SV,S,SV,medium-gradient valley,,,,False,table 4
majorLandForm,LV,L,LV,valley floor,,,,False,table 4
majorLandForm,L,,L,level land,,,,False,table 4
majorLandForm,SH,S,SH,medium-gradient hill,,,,False,table 4
majorLandForm,LD,L,LD,depressio,,,,False,table 4
majorLandForm,S,,S,sloping land,,,,False,table 4
majorLandForm,TH,T,TH,high-gradient hill,,,,False,table 4
peatDrainage,DC4,,DC4,Well drained,,,,False,table 59.1
peatDrainage,DC1,,DC1,Undrained,,,,False,table 59.1
peatDrainage,DC3,,DC3,Moderately drained,,,,False,table 59.1
peatDrainage,DC2,,DC2,Weakly drained,,,,False,table 59.1
structureGrade,MS,,MS,Moderate to strong,Moderate to strong,,,False,table 47
structureGrade,WM,,WM,Weak to moderat,Weak to moderate,,,False,table 47
structureGrade,MO,,MO,Moderat,"Aggregates are observable in place and there is a distinct arrangement of natural surfaces of weakness. When disturbed, the soil material breaks into a mixture of many entire aggregates, some broken aggregates, and little material without aggregates faces. Aggregates surfaces generally show distinct differences with the aggregates interiors.",,,False,table 47
