property;description;unit;GLOSIS term;GLOSIS class result unit;notes
Point_ID;Unique identifier of the LUCAS survey point;8 digits number;id is part of URL of instance, and appears in label;;
Coarse;Coarse elements;%;glosis_lh:CoarseFragments;%;
Clay;Clay content;%;glosis_lh:Clay;%;
Silt;Silt content;%;glosis_lh:Silt ;GM per hectoGM;
Sand;Sand content;%;glosis_lh:Sand;GM per hectoGM;
pH(CaCl2);pH measured in a CaCl2 solution;─;glosis_lh:pH;PH;procedure CaCL2
pH(H2O);pH measured in a suspension of soil in water;─;glosis_lh:pH;PH;procedure H2O
EC;Electrical conductivity;mS/m (MegaS-PER-M);glosis_lh:ElectricalConductivity;DeciS-PER-M;
OC;Organic carbon content;g/kg;glosis_lh:CarbonOrganic;GM per KiloGM;
CaCO3;Carbonates content;g/kg;glosis_lh:TotalCarbonateEquivalent;GM per KiloGM;glosis_lh:CarbonatesContent has in ontology a result value codelist, not g/kg
P;Phosphorus content;mg/kg;glosis_lh:PhosphorusTotalElements;%;
N;Total nitrogen content;g/kg;glosis_lh:NitrogenTotal;GM per KiloGM;
K;Extractable potassium content;mg/kg;glosis_lh:PotassiumExtractableElements;centiMOL per KG;
